CH	trans factor	units	range	descrizione
1	1017	mV/g	2g	A1 ST
2	1005.1	mV/g	2g	A2 RC slab NE X
3	1014.8	mV/g	2g	A2 RC slab NE Y
4	998.4	mV/g	2g	A3 RC slab SW X
5	985.7	mV/g	2g	A3 RC slab SW Y
6	1017	mV/g	2g	A4 conveyor X
7	999.8	mV/g	2g	A5 floor1 column SE X
8	1004.6	mV/g	2g	A5 floor1 column SE Y
9	992.2	mV/g	2g	A6 floor1 column NE X
10	987.2	mV/g	2g	A6 floor1 column NE Y
11	998.5	mV/g	2g	A7 floor1 column NW X
12	1001.6	mV/g	2g	A7 floor1 column NW Y
13	978.1	mV/g	2g	A8 Lprofile footing tank 1 X
14	978.6	mV/g	2g	A8 Lprofile footing tank 1 Z
15	974.9	mV/g	2g	A9 tank 1 h CM X
16	986.3	mV/g	2g	A9 tank 1 h CM Y
17	1005	mV/g	2g	A10 SDOF12 X
18	1014.9	mV/g	2g	A11 Lprofile footing tank 2 X
19	991.5	mV/g	2g	A11 Lprofile footing tank 2 Z
20	1000.2	mV/g	2g	A12 tank 2 h CM X
21	993.9	mV/g	2g	A12 tank 2 h CM Y
22	1013	mV/g	2g	A13 cabinet X
23	991.8	mV/g	2g	A14 floor2 column SE X
24	994.7	mV/g	2g	A14 floor2 column SE Y
25	1003	mV/g	2g	A15 floor2 column NE X
26	996.7	mV/g	2g	A15 floor2 column NE Y
27	1000.2	mV/g	2g	A16 floor2 column NW X
28	987.7	mV/g	2g	A16 floor2 column NW Y
29	1003.6	mV/g	2g	A17 tank 3 X
30	1002.7	mV/g	2g	A17 tank 3 Y
31	1007.1	mV/g	2g	A18 tank 4 X
32	986.2	mV/g	2g	A18 tank 4 Y
33	1014	mV/g	2g	A19 SDOF21 X
34	333.3	mV/g	6g	A20 floor3 column SE X
35	334.4	mV/g	6g	A20 floor3 column SE Y
36  1       mV/g    0   canale non funzionante acc.
37	343	mV/g	6g	A21 floor3 column NE Y
38	328.9	mV/g	6g	A22 floor3 column NW X
39	341.2	mV/g	6g	A22 floor3 column NW Y
40	328.4	mV/g	6g	A23 SDOF32 X
41	1011.7	mV/g	2g	A24 DN80 n2 dirX-rackE side-X
42	341.6	mV/g	6g	A25 DN80 n1 dirX-rackW side-X
43	344.5	mV/g	6g	A25 DN80 n1 dirX-rackW side-Y
44	340.3	mV/g	6g	A25 DN80 n1 dirX-rackW side-Z
45	331.7	mV/g	6g	A26 DN80 n3 dirY-rackN side-X
46	335.5	mV/g	6g	A26 DN80 n3 dirY-rackN side-Y
47	329	mV/g	6g	A26 DN80 n3 dirY-rackN side-Z
48	336	mV/g	6g	A27 DN80 n3 dirY-center pipe-X
49	330.3	mV/g	6g	A27 DN80 n3 dirY-center pipe-Y
50	336	mV/g	6g	A27 DN80 n3 dirY-center pipe-Z
51	336.8	mV/g	6g	A28 rackN X
52	336.5	mV/g	6g	A28 rackN Y
53	330.3	mV/g	6g	A28 rackN Z
54	330.6	mV/g	6g	A29 rackE X
55	337.7	mV/g	6g	A21 floor3 column NE X
56  1       mV/g    0   canale vuoto per acc.
57	1	Alim.	0	ALIM1-Pot.ch 58:72
58	900	mm/V	900mm	P1 Pot 900 RC slab/ST NE X
59	900	mm/V	900mm	P2 Pot 900 RC slab/ST NE Y
60	900	mm/V	900mm	P3 Pot 900 RC slab/ST SW Y
61	900	mm/V	900mm	P4 Pot 900 RC slab/ST SW X
62	25	mm/V	25mm	T1 Tast 25 RC slab/ST NE Z
63	25	mm/V	25mm	T2 Tast 25 RC slab/ST SW Z
64	25	mm/V	25mm	T3 Tast 25 RC slab/col. NE-corner NE-Z
65	25	mm/V	25mm	T4 Tast 25 RC slab/col. NE-corner SW-Z
66	25	mm/V	25mm	T5 Tast 25 RC slab/col. NW-corner NW-Z
67	25	mm/V	25mm	T6 Tast 25 RC slab/col. NW-corner SE-Z
68	25	mm/V	25mm	T7 Tast 25 RC slab/col. SE-corner SE-Z
69	25	mm/V	25mm	T8 Tast 25 RC slab/col. SE-corner NW-Z
70	25	mm/V	25mm	T9 Tast 25 RC slab/col. SW-corner NE-Z
71	25	mm/V	25mm	T10 Tast 25 RC slab/col. SW-corner SW-Z
72	900	mm/V	900mm	PST Pot 900 ST/floor X
73	1	Alim.	0	ALIM2-Pot.ch 74:88
74	50	mm/V	50mm	P5 Pot 50 DN80 dirX/rackE X
75	50	mm/V	50mm	P6 Pot 50 DN80 dirX/rackW X
76	100	mm/V	100mm	P7 Pot 100 collar/rackN X
77	25	mm/V	25mm	P8 Pot 25 rackN XZ
